time	V(vdrain)	V(vgate)	Id(M1)
2.928542852724493e-07	1.143238e-01	8.675127e+00	1.044223e+00
2.938542852724650e-07	1.138059e-01	8.720713e+00	1.044379e+00
2.948542852724808e-07	1.133029e-01	8.765941e+00	1.044534e+00
2.958542852724965e-07	1.128143e-01	8.810814e+00	1.044689e+00
2.968542852725123e-07	1.123394e-01	8.855335e+00	1.044844e+00
2.978542852725280e-07	1.118777e-01	8.899507e+00	1.045000e+00
2.988542852725437e-07	1.114287e-01	8.943331e+00	1.045155e+00
2.998542852725595e-07	1.109919e-01	8.986811e+00	1.045310e+00
3.008542852725752e-07	1.105669e-01	9.029947e+00	1.045465e+00
3.018542852725910e-07	1.101531e-01	9.072743e+00	1.045621e+00
3.028542852726067e-07	1.097502e-01	9.115202e+00	1.045776e+00
3.038542852726225e-07	1.093577e-01	9.157326e+00	1.045931e+00
3.048542852726382e-07	1.089754e-01	9.199116e+00	1.046087e+00
3.058542852726540e-07	1.086028e-01	9.240576e+00	1.046242e+00
3.068542852726697e-07	1.082395e-01	9.281707e+00	1.046397e+00
3.078542852726854e-07	1.078854e-01	9.322512e+00	1.046552e+00
3.088542852727012e-07	1.075399e-01	9.362993e+00	1.046708e+00
3.098542852727169e-07	1.072030e-01	9.403154e+00	1.046863e+00
3.108542852727327e-07	1.068741e-01	9.442996e+00	1.047018e+00
3.118542852727484e-07	1.065532e-01	9.482521e+00	1.047173e+00
3.128542852727642e-07	1.062399e-01	9.521732e+00	1.047329e+00
3.138542852727799e-07	1.059339e-01	9.560632e+00	1.047484e+00
3.148542852727957e-07	1.056351e-01	9.599222e+00	1.047639e+00
3.158542852728114e-07	1.053432e-01	9.637505e+00	1.047794e+00
3.168542852728272e-07	1.050579e-01	9.675482e+00	1.047950e+00
3.178542852728429e-07	1.047792e-01	9.713158e+00	1.048105e+00
3.188542852728586e-07	1.045067e-01	9.750532e+00	1.048260e+00
3.198542852728744e-07	1.042403e-01	9.787610e+00	1.048415e+00
3.208542852728901e-07	1.039798e-01	9.824391e+00	1.048570e+00
3.218542852729059e-07	1.037251e-01	9.860880e+00	1.048726e+00
3.228542852729216e-07	1.034758e-01	9.897076e+00	1.048881e+00
3.238542852729374e-07	1.032320e-01	9.932983e+00	1.049036e+00
3.248542852729531e-07	1.029934e-01	9.968605e+00	1.049191e+00
3.258542852729689e-07	1.027598e-01	1.000394e+01	1.049346e+00
3.268542852729846e-07	1.025312e-01	1.003899e+01	1.049501e+00
3.278542852730004e-07	1.023074e-01	1.007377e+01	1.049657e+00
3.288542852730161e-07	1.020883e-01	1.010826e+01	1.049812e+00
3.298542852730318e-07	1.018736e-01	1.014248e+01	1.049967e+00
3.308542852730476e-07	1.016634e-01	1.017643e+01	1.050122e+00
3.318542852730633e-07	1.014574e-01	1.021010e+01	1.050277e+00
3.328542852730791e-07	1.012556e-01	1.024351e+01	1.050432e+00
3.338542852730948e-07	1.010579e-01	1.027665e+01	1.050587e+00
3.348542852731106e-07	1.008641e-01	1.030952e+01	1.050742e+00
3.358542852731263e-07	1.006741e-01	1.034213e+01	1.050897e+00
3.368542852731421e-07	1.004879e-01	1.037447e+01	1.051053e+00
3.378542852731578e-07	1.003053e-01	1.040656e+01	1.051208e+00
3.388542852731736e-07	1.001263e-01	1.043839e+01	1.051363e+00
3.398542852731893e-07	9.995071e-02	1.046997e+01	1.051518e+00
3.408542852732050e-07	9.977850e-02	1.050129e+01	1.051673e+00
3.418542852732208e-07	9.960958e-02	1.053236e+01	1.051828e+00
3.428542852732365e-07	9.944386e-02	1.056318e+01	1.051983e+00
3.438542852732523e-07	9.928127e-02	1.059376e+01	1.052138e+00
3.448542852732680e-07	9.912171e-02	1.062409e+01	1.052293e+00
3.458542852732838e-07	9.896514e-02	1.065417e+01	1.052448e+00
3.468542852732995e-07	9.881147e-02	1.068402e+01	1.052603e+00
3.478542852733153e-07	9.866063e-02	1.071363e+01	1.052758e+00
3.488542852733310e-07	9.851255e-02	1.074299e+01	1.052913e+00
3.498542852733467e-07	9.836718e-02	1.077213e+01	1.053068e+00
3.508542852733625e-07	9.822443e-02	1.080102e+01	1.053223e+00
3.518542852733782e-07	9.808427e-02	1.082969e+01	1.053378e+00
3.528542852733940e-07	9.794662e-02	1.085813e+01	1.053533e+00
3.538542852734097e-07	9.781144e-02	1.088633e+01	1.053688e+00
3.548542852734255e-07	9.767865e-02	1.091431e+01	1.053843e+00
3.558542852734412e-07	9.754822e-02	1.094207e+01	1.053998e+00
3.568542852734570e-07	9.742007e-02	1.096960e+01	1.054152e+00
3.578542852734727e-07	9.729418e-02	1.099692e+01	1.054307e+00
3.588542852734885e-07	9.717048e-02	1.102401e+01	1.054462e+00
3.598542852735042e-07	9.704893e-02	1.105088e+01	1.054617e+00
3.608542852735199e-07	9.692948e-02	1.107754e+01	1.054772e+00
3.618542852735357e-07	9.681208e-02	1.110399e+01	1.054927e+00
3.628542852735514e-07	9.669670e-02	1.113022e+01	1.055082e+00
3.638542852735672e-07	9.658329e-02	1.115624e+01	1.055237e+00
3.648542852735829e-07	9.647181e-02	1.118205e+01	1.055391e+00
3.658542852735987e-07	9.636221e-02	1.120766e+01	1.055546e+00
3.668542852736144e-07	9.625447e-02	1.123306e+01	1.055701e+00
3.678542852736302e-07	9.614853e-02	1.125825e+01	1.055856e+00
3.688542852736459e-07	9.604436e-02	1.128324e+01	1.056011e+00
3.698542852736617e-07	9.594193e-02	1.130803e+01	1.056166e+00
3.708542852736774e-07	9.584121e-02	1.133263e+01	1.056320e+00
3.718542852736931e-07	9.574215e-02	1.135702e+01	1.056475e+00
3.728542852737089e-07	9.564472e-02	1.138122e+01	1.056630e+00
3.738542852737246e-07	9.554890e-02	1.140522e+01	1.056785e+00
3.748542852737404e-07	9.545464e-02	1.142903e+01	1.056939e+00
3.758542852737561e-07	9.536193e-02	1.145265e+01	1.057094e+00
3.768542852737719e-07	9.527072e-02	1.147608e+01	1.057249e+00
3.778542852737876e-07	9.518099e-02	1.149932e+01	1.057404e+00
3.788542852738034e-07	9.509271e-02	1.152238e+01	1.057558e+00
3.798542852738191e-07	9.500585e-02	1.154524e+01	1.057713e+00
3.808542852738349e-07	9.492040e-02	1.156793e+01	1.057868e+00
3.818542852738506e-07	9.483632e-02	1.159043e+01	1.058022e+00
3.828542852738663e-07	9.475357e-02	1.161275e+01	1.058177e+00
3.838542852738821e-07	9.467214e-02	1.163489e+01	1.058332e+00
3.848542852738978e-07	9.459202e-02	1.165686e+01	1.058486e+00
3.858542852739136e-07	9.451316e-02	1.167864e+01	1.058641e+00
3.868542852739293e-07	9.443554e-02	1.170025e+01	1.058796e+00
3.878542852739451e-07	9.435916e-02	1.172169e+01	1.058950e+00
3.888542852739608e-07	9.428397e-02	1.174296e+01	1.059105e+00
3.898542852739766e-07	9.420997e-02	1.176405e+01	1.059259e+00
3.908542852739923e-07	9.413712e-02	1.178498e+01	1.059414e+00
3.918542852740080e-07	9.406542e-02	1.180573e+01	1.059569e+00
3.928542852740238e-07	9.399483e-02	1.182632e+01	1.059723e+00
3.938542852740395e-07	9.392534e-02	1.184675e+01	1.059878e+00
3.948542852740553e-07	9.385693e-02	1.186701e+01	1.060032e+00
3.958542852740710e-07	9.378958e-02	1.188710e+01	1.060187e+00
3.968542852740868e-07	9.372327e-02	1.190704e+01	1.060341e+00
3.978542852741025e-07	9.365799e-02	1.192681e+01	1.060496e+00
3.988542852741183e-07	9.359372e-02	1.194643e+01	1.060650e+00
3.998542852741340e-07	9.353043e-02	1.196589e+01	1.060805e+00
4.008542852741498e-07	9.346811e-02	1.198519e+01	1.060959e+00
4.018542852741655e-07	9.340677e-02	1.200433e+01	1.061114e+00
4.028542852741812e-07	9.334635e-02	1.202332e+01	1.061268e+00
4.038542852741970e-07	9.328686e-02	1.204216e+01	1.061423e+00
4.048542852742127e-07	9.322827e-02	1.206085e+01	1.061577e+00
4.058542852742285e-07	9.317058e-02	1.207939e+01	1.061732e+00
4.068542852742442e-07	9.311377e-02	1.209778e+01	1.061886e+00
4.078542852742600e-07	9.305783e-02	1.211602e+01	1.062041e+00
4.088542852742757e-07	9.300274e-02	1.213411e+01	1.062195e+00
4.098542852742915e-07	9.294848e-02	1.215206e+01	1.062349e+00
4.108542852743072e-07	9.289505e-02	1.216987e+01	1.062504e+00
4.118542852743230e-07	9.284243e-02	1.218753e+01	1.062658e+00
4.128542852743387e-07	9.279060e-02	1.220505e+01	1.062812e+00
4.138542852743544e-07	9.273956e-02	1.222243e+01	1.062967e+00
4.148542852743702e-07	9.268929e-02	1.223967e+01	1.063121e+00
4.158542852743859e-07	9.263979e-02	1.225677e+01	1.063276e+00
4.168542852744017e-07	9.259102e-02	1.227373e+01	1.063430e+00
4.178542852744174e-07	9.254301e-02	1.229056e+01	1.063584e+00
4.188542852744332e-07	9.249571e-02	1.230725e+01	1.063738e+00
4.198542852744489e-07	9.244913e-02	1.232380e+01	1.063893e+00
4.208542852744647e-07	9.240325e-02	1.234023e+01	1.064047e+00
4.218542852744804e-07	9.235805e-02	1.235652e+01	1.064201e+00
4.228542852744962e-07	9.231354e-02	1.237268e+01	1.064356e+00
