time	I(D1)
2.953183046111705e-05	-2.600175e-06
2.954642391152248e-05	1.321624e-06
2.957561081233334e-05	-6.368694e-07
2.963398461395506e-05	-7.476424e-08
2.968525239675656e-05	1.950120e-06
2.969946443439701e-05	1.354143e-06
2.972788850967792e-05	8.791860e-07
2.974515184943818e-05	5.144778e-07
2.976747332047946e-05	3.604656e-05
2.976847332047946e-05	1.893480e-05
2.977047332047946e-05	-9.341398e-06
2.977447332047946e-05	4.146715e-06
2.978166474530127e-05	1.083080e-06
2.978761715035637e-05	-8.672406e-06
2.979009518988978e-05	-7.441267e-06
2.979505126895660e-05	-2.912023e-05
2.979605126895660e-05	-1.829498e-05
2.979805126895659e-05	-1.786331e-05
2.979905126895659e-05	1.719747e-06
2.980000000000000e-05	-2.897334e-04
2.980010253791318e-05	-1.669649e-04
2.980030761373955e-05	7.566460e-05
2.980071776539229e-05	-1.398938e-05
2.980122202439588e-05	2.025611e-05
2.980200000000000e-05	5.113459e-03
2.980207779756041e-05	1.764008e-03
2.980223339268123e-05	2.724766e-06
2.980254458292288e-05	-1.404450e-06
2.980300000000000e-05	-1.520487e-04
2.980304554170771e-05	-5.402778e-05
2.980313662512313e-05	-5.592929e-07
2.980331879195398e-05	-5.135287e-08
2.980368312561567e-05	-2.433987e-07
2.980418504452888e-05	-4.978845e-07
2.980494892745860e-05	-1.472959e-06
2.980559795909478e-05	-3.459703e-06
2.980588907601108e-05	-6.719197e-06
2.980607705637377e-05	-9.564616e-06
2.980630957682881e-05	-9.735547e-06
2.980645715032142e-05	-8.058651e-06
2.980659941501862e-05	-6.081056e-06
2.980677408094676e-05	-3.826713e-06
2.980695758679369e-05	-2.079271e-06
2.980722443610524e-05	-2.173637e-07
2.980750609924114e-05	8.237806e-07
2.980796049830003e-05	1.620498e-06
2.980842840630704e-05	1.817405e-06
2.980936422232107e-05	1.783485e-06
2.981062064823105e-05	1.067887e-06
2.981165992487891e-05	-1.951579e-06
2.981256691617938e-05	-6.082943e-06
2.981340765316109e-05	-7.457440e-06
2.981431231941836e-05	-6.189118e-06
2.981532383506329e-05	-4.317174e-06
2.981734686635313e-05	-7.078690e-07
2.981981178461116e-05	3.000858e-06
2.982370292037867e-05	7.356221e-06
2.982792966924468e-05	1.082282e-05
2.983342777752661e-05	1.438376e-05
2.983896951509389e-05	1.768039e-05
2.984625330373296e-05	2.220248e-05
2.985383063726964e-05	2.776350e-05
2.986372021154430e-05	3.723562e-05
2.987281626603186e-05	5.009569e-05
2.988587119311674e-05	8.161970e-05
2.989826029579577e-05	1.418947e-04
2.990936113054522e-05	2.709307e-04
2.992035851297037e-05	5.974445e-04
2.992814782947188e-05	1.105284e-03
2.993684844612611e-05	1.657108e-03
2.994016976386695e-05	1.687397e-03
2.994328789803557e-05	1.686462e-03
2.994572766105193e-05	1.689928e-03
2.994810441002463e-05	1.678132e-03
2.995285790797002e-05	1.694239e-03
2.995822831869135e-05	1.700022e-03
2.996756778496889e-05	1.724992e-03
2.997803149027038e-05	1.759523e-03
2.999110279002354e-05	1.824616e-03
3.000719886572005e-05	1.971048e-03
3.002882852941548e-05	2.554377e-03
3.005133879980171e-05	4.238692e-03
3.006677244528640e-05	6.335612e-03
3.008252483990509e-05	9.491086e-03
3.008915317402240e-05	1.159202e-02
3.009336220766990e-05	1.383213e-02
3.009567504336345e-05	1.980240e-02
3.009705255722276e-05	3.846550e-02
3.009775758274814e-05	6.497718e-02
3.009842134430784e-05	1.059184e-01
3.009913718335270e-05	1.612404e-01
3.010013201881353e-05	2.467516e-01
3.010160406431544e-05	3.719947e-01
3.010340662349969e-05	5.046101e-01
3.010532391285861e-05	6.008412e-01
3.010824922396123e-05	6.724920e-01
3.011097694714305e-05	6.936439e-01
3.011518865146481e-05	6.983540e-01
3.012068471207655e-05	7.003192e-01
3.012640519684140e-05	7.019338e-01
3.013463988764536e-05	7.039396e-01
3.014505762321474e-05	7.060927e-01
3.015684687501570e-05	7.080889e-01
3.016945583949919e-05	7.097865e-01
3.018365036535581e-05	7.112607e-01
3.019873572519310e-05	7.124311e-01
3.021571623140359e-05	7.133654e-01
3.023542756892994e-05	7.140650e-01
3.026314307287389e-05	7.145957e-01
3.029101737317471e-05	7.147953e-01
3.032233742677659e-05	7.147802e-01
3.035871912244835e-05	7.146248e-01
3.040666270036809e-05	7.143278e-01
3.047122881768960e-05	7.138706e-01
3.055802365639376e-05	7.132203e-01
3.068950976710636e-05	7.122136e-01
3.087217631490251e-05	7.108018e-01
3.118660208982455e-05	7.083601e-01
3.175676389610263e-05	7.039142e-01
3.289708750865880e-05	6.949765e-01
3.485021250865880e-05	6.795698e-01
3.680333750865880e-05	6.640601e-01
3.804787500000000e-05	6.541595e-01
3.804887500000000e-05	6.541349e-01
3.805087500000000e-05	6.540936e-01
3.805487500000001e-05	6.540720e-01
3.806060827185250e-05	6.540210e-01
3.807207481555747e-05	6.539330e-01
3.809500790296742e-05	6.537472e-01
3.814087407778732e-05	6.533804e-01
3.823260642742711e-05	6.526441e-01
3.841607112670669e-05	6.511718e-01
3.878300052526586e-05	6.482237e-01
3.926714120288166e-05	6.443011e-01
3.926814120288167e-05	6.443074e-01
3.927014120288167e-05	6.443133e-01
3.927414120288168e-05	6.442721e-01
3.927967788554760e-05	6.442319e-01
3.929075125087944e-05	6.441391e-01
3.931289798154312e-05	6.439626e-01
3.935719144287048e-05	6.436050e-01
3.944577836552519e-05	6.428919e-01
3.962295221083462e-05	6.414650e-01
3.964665230938114e-05	6.412736e-01
3.969405250647417e-05	6.408906e-01
3.978885290066023e-05	6.401255e-01
3.981139921162788e-05	6.399440e-01
3.985649183356319e-05	6.395809e-01
3.991081475612937e-05	6.391675e-01
3.991181475612938e-05	6.391474e-01
3.991381475612938e-05	6.391123e-01
3.991781475612939e-05	6.390877e-01
3.992322308820190e-05	6.390403e-01
3.993403975234692e-05	6.389562e-01
3.995567308063695e-05	6.387905e-01
3.995773334341993e-05	6.387695e-01
3.996185386898588e-05	6.387281e-01
3.997009492011778e-05	6.386655e-01
3.998589466660299e-05	6.385562e-01
3.998689466660300e-05	6.385392e-01
3.998889466660300e-05	6.385075e-01
3.999289466660301e-05	6.384783e-01
3.999571678560468e-05	6.384691e-01
3.999671678560468e-05	6.384586e-01
3.999871678560469e-05	6.384413e-01
3.999971678560469e-05	6.383898e-01
4.000000000000000e-05	6.384032e-01
4.000043357120938e-05	6.383397e-01
4.000050982397272e-05	6.383728e-01
4.000061985541423e-05	6.384145e-01
4.000068557780211e-05	6.384104e-01
4.000074647758859e-05	6.384190e-01
4.000079697851620e-05	6.384154e-01
4.000084869641350e-05	6.384162e-01
4.000089702421165e-05	6.384156e-01
4.000094736947378e-05	6.384152e-01
4.000100000000000e-05	6.384148e-01
4.000100526305262e-05	6.384150e-01
4.000101578915786e-05	6.384155e-01
4.000102707554102e-05	6.384166e-01
4.000104062747168e-05	6.384193e-01
4.000106773133300e-05	6.384291e-01
4.000112193905564e-05	6.384666e-01
4.000123035450092e-05	6.385977e-01
4.000135987205573e-05	6.388560e-01
4.000154181066757e-05	6.394110e-01
4.000175085158759e-05	6.403061e-01
4.000200000000000e-05	6.416121e-01
4.000202491484124e-05	6.417608e-01
4.000207474452372e-05	6.420445e-01
4.000217440388869e-05	6.425411e-01
4.000237372261863e-05	6.433038e-01
4.000267969656964e-05	6.440658e-01
4.000302751470151e-05	6.445300e-01
4.000334453240874e-05	6.447117e-01
4.000369590420833e-05	6.447785e-01
4.000429087360661e-05	6.448576e-01
4.000485148327557e-05	6.453134e-01
4.000547936660828e-05	6.468379e-01
4.000599044704742e-05	6.490037e-01
4.000654625907240e-05	6.519321e-01
4.000720650974656e-05	6.554206e-01
4.000836394472503e-05	6.608225e-01
4.000968173491609e-05	6.654783e-01
4.001189113144192e-05	6.706973e-01
4.001347952513881e-05	6.731247e-01
4.001498016568044e-05	6.745808e-01
4.001673631876721e-05	6.757624e-01
4.001805372758110e-05	6.763719e-01
4.001899333242813e-05	6.765963e-01
4.001968368575060e-05	6.765775e-01
4.002046814130067e-05	6.764146e-01
4.002143506312661e-05	6.761490e-01
4.002224459526284e-05	6.758684e-01
4.002296438332591e-05	6.755376e-01
4.002383543405311e-05	6.750434e-01
4.002468962524287e-05	6.745133e-01
4.002572177061352e-05	6.738619e-01
4.002693817817442e-05	6.731038e-01
4.002937099329622e-05	6.716300e-01
4.003304545693810e-05	6.552642e-01
4.003917185474575e-05	4.324289e-01
4.004367307475040e-05	-1.092083e-01
4.004756734523327e-05	-9.347531e-01
4.005251258651530e-05	-2.200699e+00
4.005540085775538e-05	-2.913858e+00
4.005667555572841e-05	-2.804191e+00
4.005728400713996e-05	-1.058493e+00
4.005743670928043e-05	-3.334716e-01
4.005755586334944e-05	-2.170582e-01
4.005760324409975e-05	-7.364602e-02
4.005763586866511e-05	-8.254825e-02
4.005765762275782e-05	-1.015323e-01
4.005767859017209e-05	-5.142568e-02
4.005770005650820e-05	-6.473996e-02
4.005772582163046e-05	-5.109834e-02
4.005776679370762e-05	-4.665875e-02
4.005783423615147e-05	-3.673566e-02
4.005796912103917e-05	-2.614913e-02
4.005817338092849e-05	-1.795862e-02
4.005853336908722e-05	-1.312140e-02
4.005888595822554e-05	-1.185333e-02
4.005959113650219e-05	-1.147692e-02
