time	I(L1)
4.000836394472503e-05	6.383559e-01
4.000968173491609e-05	6.383452e-01
4.001189113144192e-05	6.383274e-01
4.001347952513881e-05	6.383145e-01
4.001498016568044e-05	6.383024e-01
4.001673631876721e-05	6.382882e-01
4.001805372758110e-05	6.382775e-01
4.001899333242813e-05	6.382700e-01
4.001968368575060e-05	6.382644e-01
4.002046814130067e-05	6.382580e-01
4.002143506312661e-05	6.382502e-01
4.002224459526284e-05	6.382437e-01
4.002296438332591e-05	6.382378e-01
4.002383543405311e-05	6.382308e-01
4.002468962524287e-05	6.382239e-01
4.002572177061352e-05	6.382156e-01
4.002693817817442e-05	6.382058e-01
4.002937099329622e-05	6.381861e-01
4.003304545693810e-05	6.381564e-01
4.003917185474575e-05	6.381070e-01
4.004367307475040e-05	6.380710e-01
4.004756734523327e-05	6.380405e-01
4.005251258651530e-05	6.380031e-01
4.005540085775538e-05	6.379820e-01
4.005667555572841e-05	6.379732e-01
4.005728400713996e-05	6.379696e-01
4.005743670928043e-05	6.379689e-01
4.005755586334944e-05	6.379687e-01
4.005760324409975e-05	6.379686e-01
4.005763586866511e-05	6.379685e-01
4.005765762275782e-05	6.379685e-01
4.005767859017209e-05	6.379685e-01
4.005770005650820e-05	6.379685e-01
4.005772582163046e-05	6.379685e-01
4.005776679370762e-05	6.379684e-01
4.005783423615147e-05	6.379684e-01
4.005796912103917e-05	6.379684e-01
4.005817338092849e-05	6.379683e-01
4.005853336908722e-05	6.379683e-01
4.005888595822554e-05	6.379684e-01
4.005959113650219e-05	6.379687e-01
4.006056397899786e-05	6.379699e-01
4.006250966398921e-05	6.379740e-01
4.006640103397191e-05	6.379898e-01
4.007418377393731e-05	6.380461e-01
4.008731876395289e-05	6.381969e-01
4.010498861751486e-05	6.384770e-01
4.012178953484006e-05	6.388113e-01
4.013946692884407e-05	6.392338e-01
4.016378569538310e-05	6.399173e-01
4.019237398786589e-05	6.408220e-01
4.019914691817816e-05	6.410536e-01
4.020724712570291e-05	6.413411e-01
4.021151809196265e-05	6.414934e-01
4.021661005303746e-05	6.416756e-01
4.022085368285738e-05	6.418276e-01
4.022542662490584e-05	6.419917e-01
4.023057063633529e-05	6.421766e-01
4.023533577023666e-05	6.423479e-01
4.024138619227032e-05	6.425655e-01
4.024718042653624e-05	6.427742e-01
4.025446986250903e-05	6.430369e-01
4.026194429069426e-05	6.433064e-01
4.027132451580111e-05	6.436447e-01
4.028118172654370e-05	6.440004e-01
4.029394063886460e-05	6.444610e-01
4.030722381888767e-05	6.449407e-01
4.032517244053605e-05	6.455891e-01
4.034565906397849e-05	6.463294e-01
4.037634527186111e-05	6.474384e-01
4.041624850803168e-05	6.488807e-01
4.047684103888129e-05	6.510708e-01
4.054001049845809e-05	6.533535e-01
4.062701576688652e-05	6.564966e-01
4.072857429816585e-05	6.601635e-01
4.087524063488207e-05	6.654551e-01
4.105587426635685e-05	6.719650e-01
4.134190143389112e-05	6.822567e-01
4.175494203116195e-05	6.970784e-01
4.258102322570361e-05	7.265710e-01
4.423318561478694e-05	7.850912e-01
4.618631061478694e-05	8.535710e-01
4.784887500000001e-05	9.113429e-01
4.784987500000001e-05	9.113774e-01
4.785187500000001e-05	9.114463e-01
4.785481962708995e-05	9.115477e-01
4.785789197723289e-05	9.116534e-01
4.786380362509227e-05	9.118569e-01
4.787087497095248e-05	9.121004e-01
4.788208689684587e-05	9.124864e-01
4.789860199892510e-05	9.130548e-01
4.792220412289834e-05	9.138671e-01
4.795869485716062e-05	9.151226e-01
4.802140828333484e-05	9.172794e-01
4.814294035421097e-05	9.214557e-01
4.838600449596322e-05	9.297947e-01
4.887213277946772e-05	9.464474e-01
4.887313277946772e-05	9.464816e-01
4.887513277946773e-05	9.465500e-01
4.887913277946774e-05	9.466867e-01
4.888340409520539e-05	9.468327e-01
4.889194672668069e-05	9.471247e-01
4.890575792903206e-05	9.475966e-01
