time,Vvrain,Vvgate,Vn004,-IR1,IM1
3.805978782251383e-06,5.091059e+01,4.772964e-01,0.000000e+00,-2.832523e-06,1.858278e-07
3.807941282251890e-06,5.091057e+01,4.772751e-01,0.000000e+00,-2.830039e-06,1.845176e-07
3.807967063501855e-06,5.091057e+01,4.772748e-01,0.000000e+00,-2.830006e-06,1.844997e-07
3.807968626001875e-06,5.091057e+01,4.772748e-01,0.000000e+00,-2.830004e-06,1.844966e-07
3.807971751001917e-06,5.091057e+01,4.772747e-01,0.000000e+00,-2.830000e-06,1.844954e-07
3.807978001001892e-06,5.091057e+01,4.772747e-01,0.000000e+00,-2.829992e-06,1.844933e-07
3.808015501001851e-06,5.091057e+01,4.772743e-01,0.000000e+00,-2.829945e-06,1.844678e-07
3.808840501002024e-06,5.091056e+01,4.772653e-01,0.000000e+00,-2.828901e-06,1.839177e-07
3.809024429573507e-06,5.091056e+01,4.772633e-01,0.000000e+00,-2.828669e-06,1.837947e-07
3.809208358144991e-06,5.091056e+01,4.772613e-01,0.000000e+00,-2.828436e-06,1.836718e-07
3.809392286716474e-06,5.091056e+01,4.772593e-01,0.000000e+00,-2.828204e-06,1.835492e-07
3.809576215287958e-06,5.091056e+01,4.772573e-01,0.000000e+00,-2.827971e-06,1.834266e-07
3.809760143859441e-06,5.091056e+01,4.772553e-01,0.000000e+00,-2.827739e-06,1.833043e-07
3.809944072430925e-06,5.091056e+01,4.772533e-01,0.000000e+00,-2.827506e-06,1.831821e-07
3.810128001002409e-06,5.091055e+01,4.772513e-01,0.000000e+00,-2.827274e-06,1.830600e-07
3.810135032252402e-06,5.091055e+01,4.772512e-01,0.000000e+00,-2.827265e-06,1.830554e-07
3.810142063502395e-06,5.091055e+01,4.772511e-01,0.000000e+00,-2.827256e-06,1.830505e-07
3.810149094752388e-06,5.091055e+01,4.772511e-01,0.000000e+00,-2.827247e-06,1.830452e-07
3.810156126002381e-06,5.091055e+01,4.772510e-01,0.000000e+00,-2.827239e-06,1.830395e-07
3.810163157252374e-06,5.091055e+01,4.772509e-01,0.000000e+00,-2.827230e-06,1.830334e-07
3.810170188502368e-06,5.091055e+01,4.772508e-01,0.000000e+00,-2.827221e-06,1.830269e-07
3.810177219752361e-06,5.091055e+01,4.772508e-01,0.000000e+00,-2.827212e-06,1.830200e-07
3.810178586939866e-06,5.091055e+01,4.772508e-01,0.000000e+00,-2.827210e-06,1.830186e-07
3.810180149439886e-06,5.091055e+01,4.772507e-01,0.000000e+00,-2.827208e-06,1.830187e-07
3.810189524439903e-06,5.091055e+01,4.772506e-01,0.000000e+00,-2.827196e-06,1.830190e-07
3.810227024439862e-06,5.091055e+01,4.772502e-01,0.000000e+00,-2.827149e-06,1.829928e-07
3.810277024439879e-06,5.091055e+01,4.772497e-01,0.000000e+00,-2.827086e-06,1.829561e-07
3.810277219752395e-06,5.091055e+01,4.772497e-01,0.000000e+00,-2.827085e-06,1.829571e-07
3.810277610377427e-06,5.091055e+01,4.772497e-01,0.000000e+00,-2.827085e-06,1.829602e-07
3.810278391627384e-06,5.091055e+01,4.772497e-01,0.000000e+00,-2.827084e-06,1.829604e-07
3.810279954127404e-06,5.091055e+01,4.772497e-01,0.000000e+00,-2.827082e-06,1.829569e-07
3.810283079127446e-06,5.091055e+01,4.772496e-01,0.000000e+00,-2.827078e-06,1.829556e-07
3.810304954127413e-06,5.091055e+01,4.772494e-01,0.000000e+00,-2.827050e-06,1.829406e-07
3.810323704127338e-06,5.091055e+01,4.772492e-01,0.000000e+00,-2.827027e-06,1.829280e-07
3.810463213055960e-06,5.091055e+01,4.772476e-01,0.000000e+00,-2.826851e-06,1.828352e-07
3.810602721984582e-06,5.091055e+01,4.772461e-01,0.000000e+00,-2.826674e-06,1.827424e-07
3.810742230913204e-06,5.091055e+01,4.772446e-01,0.000000e+00,-2.826498e-06,1.826496e-07
3.810881739841826e-06,5.091055e+01,4.772431e-01,0.000000e+00,-2.826322e-06,1.825567e-07
3.811021248770448e-06,5.091055e+01,4.772416e-01,0.000000e+00,-2.826146e-06,1.824639e-07
3.811160757699069e-06,5.091055e+01,4.772400e-01,0.000000e+00,-2.825970e-06,1.823711e-07
3.811300266627691e-06,5.091055e+01,4.772385e-01,0.000000e+00,-2.825794e-06,1.822782e-07
3.811309641627708e-06,5.091055e+01,4.772384e-01,0.000000e+00,-2.825782e-06,1.822711e-07
