time	V(N001,Vo)
2.005469315262619e-05	6.340275e-01
2.005486763514859e-05	6.413097e-01
2.005495369316118e-05	6.488714e-01
2.005500980672115e-05	6.535673e-01
2.005504689783302e-05	6.574383e-01
2.005507683202724e-05	6.608486e-01
2.005510815922951e-05	6.638918e-01
2.005513694835766e-05	6.671991e-01
2.005517368416284e-05	6.711807e-01
2.005522118555846e-05	6.766634e-01
2.005529049248364e-05	6.847773e-01
2.005540642293965e-05	6.988249e-01
2.005559789763011e-05	7.226877e-01
2.005595570740230e-05	7.682915e-01
2.005656506887207e-05	8.466167e-01
2.005778379181161e-05	1.002531e+00
2.005985494263994e-05	1.262627e+00
2.006399724429660e-05	1.759838e+00
2.007228184760992e-05	2.658438e+00
2.008393121785095e-05	3.685616e+00
2.009989786385545e-05	4.731919e+00
2.011745285459836e-05	5.627608e+00
2.013408132101798e-05	6.382081e+00
2.015665515094807e-05	7.347008e+00
2.018643319533464e-05	8.467370e+00
2.019364036037939e-05	8.617853e+00
2.020065254637762e-05	8.659414e+00
2.020402620053460e-05	8.671104e+00
2.020713760283014e-05	8.678832e+00
2.020934887816426e-05	8.683391e+00
2.021136175263913e-05	8.687001e+00
2.021340928362970e-05	8.690197e+00
2.021527242149039e-05	8.692845e+00
2.021736368139616e-05	8.695466e+00
2.021958935791445e-05	8.698003e+00
2.022219529689731e-05	8.700613e+00
2.022532363617405e-05	8.703380e+00
2.022927036045672e-05	8.706364e+00
2.023418336765857e-05	8.709477e+00
2.024112556722785e-05	8.713022e+00
2.024958457172882e-05	8.716298e+00
2.026633157857687e-05	8.720805e+00
2.028824312929664e-05	8.724568e+00
2.032186971611908e-05	8.727809e+00
2.036018832245887e-05	8.729732e+00
2.039899889666132e-05	8.730554e+00
2.044750174276573e-05	8.730745e+00
2.050995839840081e-05	8.730322e+00
2.058654752303939e-05	8.729273e+00
2.068414130616579e-05	8.727516e+00
2.081013441415905e-05	8.724940e+00
2.097505607860254e-05	8.721351e+00
2.121731888180578e-05	8.715925e+00
2.157756696759866e-05	8.707701e+00
2.220682316833068e-05	8.692970e+00
2.346533556979472e-05	8.662165e+00
2.598236037272281e-05	8.598084e+00
2.598336037272281e-05	8.598057e+00
2.598536037272281e-05	8.598002e+00
2.598936037272280e-05	8.597895e+00
2.599619573309318e-05	8.597711e+00
2.600986645383394e-05	8.597344e+00
2.603720789531547e-05	8.596608e+00
2.609189077827851e-05	8.595135e+00
2.620125654420460e-05	8.592178e+00
2.641998807605678e-05	8.586226e+00
2.685745113976115e-05	8.574164e+00
2.773237726716987e-05	8.549689e+00
2.805214774518255e-05	8.540586e+00
2.869168870120789e-05	8.522126e+00
2.869268870120789e-05	8.522098e+00
2.869468870120789e-05	8.522041e+00
2.869868870120788e-05	8.521924e+00
2.870568205561860e-05	8.521719e+00
2.871966876444003e-05	8.521311e+00
2.874764218208288e-05	8.520492e+00
2.880358901736860e-05	8.518853e+00
2.891548268794002e-05	8.515565e+00
2.913927002908288e-05	8.508960e+00
2.935442531771429e-05	8.502584e+00
2.937168942273717e-05	8.502070e+00
2.940621763278295e-05	8.501041e+00
2.947527405287449e-05	8.498979e+00
2.961338689305757e-05	8.494845e+00
2.961438689305757e-05	8.494816e+00
2.961638689305757e-05	8.494757e+00
2.962038689305756e-05	8.494636e+00
2.962737267976120e-05	8.494427e+00
2.964134425316849e-05	8.494007e+00
2.966928739998305e-05	8.493168e+00
2.972517369361217e-05	8.491489e+00
2.972617369361217e-05	8.491459e+00
2.972817369361217e-05	8.491398e+00
2.973217369361216e-05	8.491278e+00
2.973912788651712e-05	8.491068e+00
2.975303627232703e-05	8.490650e+00
2.977418322838017e-05	8.490014e+00
2.977518322838017e-05	8.489983e+00
2.977718322838017e-05	8.489922e+00
2.978118322838016e-05	8.489802e+00
2.978815872154147e-05	8.489592e+00
2.978915872154147e-05	8.489562e+00
2.979115872154147e-05	8.489501e+00
2.979515872154147e-05	8.489380e+00
2.979615872154146e-05	8.489350e+00
2.979815872154146e-05	8.489290e+00
2.979915872154146e-05	8.489260e+00
2.980000000000000e-05	8.489233e+00
2.980031744308292e-05	8.489223e+00
2.980095232924876e-05	8.489206e+00
2.980200000000000e-05	8.489319e+00
2.980210000000000e-05	8.489222e+00
2.980230000000000e-05	8.489168e+00
2.980259999999999e-05	8.489162e+00
2.980300000000000e-05	8.489151e+00
2.980304000000000e-05	8.489152e+00
2.980311999999999e-05	8.489152e+00
2.980327999999999e-05	8.489148e+00
2.980360000000000e-05	8.489140e+00
2.980408767479632e-05	8.489129e+00
2.980479078544940e-05	8.489124e+00
2.980571061411969e-05	8.489142e+00
2.980602017182136e-05	8.489170e+00
2.980620620982222e-05	8.489203e+00
2.980641685491327e-05	8.489243e+00
2.980657542903448e-05	8.489267e+00
2.980673256262671e-05	8.489281e+00
2.980694258283709e-05	8.489290e+00
2.980716317634955e-05	8.489290e+00
2.980751359917838e-05	8.489277e+00
2.980784557244488e-05	8.489258e+00
2.980843818525297e-05	8.489217e+00
2.980908585536725e-05	8.489171e+00
2.981030448316427e-05	8.489089e+00
2.981135153429769e-05	8.489045e+00
2.981223578587070e-05	8.489073e+00
2.981331557456926e-05	8.489191e+00
2.981430737888948e-05	8.489313e+00
2.981529202369277e-05	8.489395e+00
2.981705660036326e-05	8.489419e+00
2.982008707599360e-05	8.489201e+00
2.982405003616782e-05	8.488555e+00
2.982828562108989e-05	8.487496e+00
2.983385106360377e-05	8.485672e+00
2.983946319079537e-05	8.483389e+00
2.984682105930014e-05	8.479722e+00
2.985453984262809e-05	8.474935e+00
2.986433945881725e-05	8.467207e+00
2.987340454307457e-05	8.457559e+00
2.988542373746405e-05	8.439316e+00
2.989628423099462e-05	8.414727e+00
2.990497921155883e-05	8.381217e+00
2.991634263079324e-05	8.302965e+00
2.992459041024533e-05	8.192248e+00
2.993179466510423e-05	8.019714e+00
2.993758113876328e-05	7.826554e+00
2.994003804169537e-05	7.735745e+00
2.994323819370185e-05	7.617824e+00
2.994565313164851e-05	7.529306e+00
2.994799888458646e-05	7.443727e+00
2.995269039046235e-05	7.273671e+00
2.995925638371030e-05	7.037042e+00
2.996571310811501e-05	6.805758e+00
2.997494495397525e-05	6.476541e+00
2.998398789507287e-05	6.154383e+00
2.999788700000611e-05	5.656361e+00
3.001139116867469e-05	5.154354e+00
3.003304553606899e-05	4.210963e+00
3.005785316712339e-05	2.762686e+00
3.007413173835523e-05	1.460881e+00
3.008839706731895e-05	7.819176e-02
3.009433951238922e-05	-5.398226e-01
3.009731656256664e-05	-8.406458e-01
3.009850093570042e-05	-9.346991e-01
3.009937040439180e-05	-9.823236e-01
3.010028923223626e-05	-1.019399e+00
3.010190234567985e-05	-1.067248e+00
3.010371628992529e-05	-1.106281e+00
3.010572233394768e-05	-1.135771e+00
3.010844104677082e-05	-1.162077e+00
3.011133637201722e-05	-1.180139e+00
3.011553049232096e-05	-1.197036e+00
3.012089124873989e-05	-1.211823e+00
3.012664470741434e-05	-1.222771e+00
3.013512000536672e-05	-1.233862e+00
3.014581242029907e-05	-1.243550e+00
3.015762080504538e-05	-1.250888e+00
3.017023748745217e-05	-1.256286e+00
3.018459055957181e-05	-1.260565e+00
3.019963523811144e-05	-1.263702e+00
3.021684264251943e-05	-1.266214e+00
3.023387798386409e-05	-1.267953e+00
3.025582584924369e-05	-1.269510e+00
3.027842234918704e-05	-1.270647e+00
3.030085389014305e-05	-1.271461e+00
3.032556704683561e-05	-1.272140e+00
3.036185066546451e-05	-1.272924e+00
3.041254333944255e-05	-1.273843e+00
3.048572937477481e-05	-1.275037e+00
3.057358872657915e-05	-1.276411e+00
3.071312315470754e-05	-1.278566e+00
3.088392849722839e-05	-1.281196e+00
3.113649969340998e-05	-1.285069e+00
3.155091660764958e-05	-1.291386e+00
3.229965965240653e-05	-1.302673e+00
3.379714574192044e-05	-1.324765e+00
3.673027722171152e-05	-1.367155e+00
3.673127722171153e-05	-1.367172e+00
3.673327722171153e-05	-1.367203e+00
3.673727722171154e-05	-1.367258e+00
3.674265318100803e-05	-1.367333e+00
3.675285982009385e-05	-1.367476e+00
3.677327309826550e-05	-1.367763e+00
3.681409965460879e-05	-1.368335e+00
3.689549940151117e-05	-1.369473e+00
3.705829889531592e-05	-1.371745e+00
3.738389788292541e-05	-1.376266e+00
3.803509585814440e-05	-1.385238e+00
3.869860404956202e-05	-1.394312e+00
3.869960404956202e-05	-1.394327e+00
3.870160404956203e-05	-1.394358e+00
3.870560404956203e-05	-1.394411e+00
3.871024351270478e-05	-1.394474e+00
3.871952243899026e-05	-1.394600e+00
3.873808029156124e-05	-1.394851e+00
3.877519599670318e-05	-1.395354e+00
3.884942740698705e-05	-1.396358e+00
3.899789022755482e-05	-1.398363e+00
3.929481586869034e-05	-1.402360e+00
3.940714871772895e-05	-1.403868e+00
3.963181441580615e-05	-1.406871e+00
3.963281441580615e-05	-1.406885e+00
3.963481441580616e-05	-1.406914e+00
3.963881441580617e-05	-1.406966e+00
3.964360966457072e-05	-1.407031e+00
3.965320016209983e-05	-1.407158e+00
3.967238115715804e-05	-1.407414e+00
3.971074314727446e-05	-1.407927e+00
3.978746712750729e-05	-1.408948e+00
3.984755203953432e-05	-1.409747e+00
3.988083017594594e-05	-1.410190e+00
3.993444372717677e-05	-1.410904e+00
3.993544372717678e-05	-1.410916e+00
3.993744372717678e-05	-1.410941e+00
3.994144372717679e-05	-1.410995e+00
3.994638266004352e-05	-1.411060e+00
3.995626052577699e-05	-1.411191e+00
3.997601625724391e-05	-1.411455e+00
3.997701625724391e-05	-1.411468e+00
3.997901625724391e-05	-1.411492e+00
3.998301625724392e-05	-1.411546e+00
3.998808018516076e-05	-1.411613e+00
3.999087214416632e-05	-1.411651e+00
3.999541608198888e-05	-1.411712e+00
3.999641608198888e-05	-1.411724e+00
3.999841608198888e-05	-1.411751e+00
3.999941608198889e-05	-1.411762e+00
4.000000000000000e-05	-1.411770e+00
4.000100000000000e-05	-1.411740e+00
4.000100219943853e-05	-1.411745e+00
4.000100659831559e-05	-1.411754e+00
4.000101539606971e-05	-1.411766e+00
4.000102585462980e-05	-1.411775e+00
4.000104364595502e-05	-1.411780e+00
4.000107922860546e-05	-1.411785e+00
4.000115039390634e-05	-1.411790e+00
4.000126663687289e-05	-1.411798e+00
4.000141149974559e-05	-1.411813e+00
4.000160145416257e-05	-1.411839e+00
4.000177399732898e-05	-1.411872e+00
4.000200000000000e-05	-1.411922e+00
4.000202260026710e-05	-1.411928e+00
4.000206780080131e-05	-1.411940e+00
4.000215820186972e-05	-1.411959e+00
4.000233900400654e-05	-1.411990e+00
4.000265773874723e-05	-1.412029e+00
4.000299666479001e-05	-1.412056e+00
4.000332204315507e-05	-1.412072e+00
4.000365890285288e-05	-1.412083e+00
4.000423480180374e-05	-1.412100e+00
4.000481957218340e-05	-1.412131e+00
4.000541858002765e-05	-1.412201e+00
4.000601095919636e-05	-1.412313e+00
4.000654603242991e-05	-1.412439e+00
4.000721402366933e-05	-1.412603e+00
4.000831550697346e-05	-1.412855e+00
4.000965198976699e-05	-1.413114e+00
4.001182632860941e-05	-1.413450e+00
4.001342307054299e-05	-1.413651e+00
4.001492690593251e-05	-1.413812e+00
4.001669171437218e-05	-1.413980e+00
4.001802602183372e-05	-1.414097e+00
4.001897531907427e-05	-1.414170e+00
4.001966733116896e-05	-1.414216e+00
4.002045792914348e-05	-1.414262e+00
4.002140577899308e-05	-1.414313e+00
4.002220613298617e-05	-1.414354e+00
4.002291815109008e-05	-1.414386e+00
4.002379365860270e-05	-1.414419e+00
4.002468550719454e-05	-1.414451e+00
4.002571192222726e-05	-1.414483e+00
4.002690939384183e-05	-1.414518e+00
4.002930433707096e-05	-1.414581e+00
4.003299426860785e-05	-1.414098e+00
4.003904911247474e-05	-1.405123e+00
4.004356315521394e-05	-1.381192e+00
4.004744703048434e-05	-1.339692e+00
4.005240128627798e-05	-1.256164e+00
